Activity number,Material Group,Mat/Srv Group Desc.,Base Unit,Service Category,Service Category.1,Valuation Class,Val. Class Desc.,G/L Account,Service Short Text,Service Long Text,Deletion Indicator
200470,S0049,EREC. OF EQUIPMENTS,AU,Z002,ERECT. & INSTL. SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,"ERECT/INSTALL,RELAY,SPECIAL UNDER FREQ","ERECTION/INSTALLATION WORK OF SPECIAL UNDER FREQUENCY RELAY (SUFR),110V DC ",
200471,S0049,EREC. OF EQUIPMENTS,AU,Z002,ERECT. & INSTL. SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,"ERECT/INSTALL,PHASOR MEASUREMENT UNIT",ERECTION/INSTALLATION WORK OF PHASOR MEASUREMENT UNIT (PMU)  ,
402521,S0051,LAYING-EARTHG. EQP.,M,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,LAYG MS FLAT 500/700MM BLW GND LVL 75X12,LAYING MS FLAT 500/700MM BELOW GROUND LEVEL 75X12MM,
200472,S0049,EREC. OF EQUIPMENTS,AU,Z002,ERECT. & INSTL. SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,"INTEGRATE,PMU,W/EXISTING PDC", INTEGRATION OF PHASOR MEASUREMENT UNIT (PMU) WITH EXISTING PDC  ,
702076,S0076,PROJECT DESIGN SERVI,AU,Z017,PROJECT DESIGN SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,"INTEGRATE,PANEL/BUS BAR",INTEGRATION OF C&R PANEL AND BUSBAR,
702077,S0076,PROJECT DESIGN SERVI,AU,Z017,PROJECT DESIGN SERVICES,7114.0,R&M-Cntrl Pan-Relays,7411400000.0,"AUG/INTEGRATE,PANEL/SAS",AUGMENTATION & INTEGRATION OF CONTROL/RELAY PANELS WITH EXISTING S.A.S,
402522,S0083,O&M SERVICES - S/S,AU,Z004,O&M SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,"REPLACE,ARM,ISOLATOR,145KV",REPLACEMENT OF ARM OF 145KV ISOLATOR,
402523,S0083,O&M SERVICES - S/S,AU,Z004,O&M SERVICES,7139.0,R&M-Othr TP: FA Appl,7413900000.0,"REPLACE,ROTARY HEAD,ISOLATOR,145KV",REPLACEMENT OF ROTARY HEAD ASSEMBLY OF 145KV ISOLATOR,
200473,S0049,EREC. OF EQUIPMENTS,TO,Z002,ERECT. & INSTL. SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"EREC,STRUCTURES,MAIN,INCL ACCS","LATTICE MAIN STRUCTURE FOR TOWERS, BEAMS & LM INCLUNDING (ACHOR BOLTS AND SUPPORT STRUCTUR E FOR GAS DUCT)",
200251,S0049,EREC. OF EQUIPMENTS,TO,Z002,ERECT. & INSTL. SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"EREC,STRUCTURES,MAIN/AUX,INCL ACCS","ERECTION OF LATTICE MAIN & AUXILIARY  STRUCTURES FOR COLUMNS, BEAMS/ETC",
402524,S0083,O&M SERVICES - S/S,AU,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"REPAIR/PAINT,IRON MESH,CHILLING TANK","CARRYING OUT REPAIRING AND PAINTING JOB OF CHILLING TANK IRON MESH COVER. THE WORK INCLUDES REMOVING OF GRAVELS, DISMANTLING OF IRON MESH AND PROPER SCRAP REMOVING OF RUST FROM IRON MESH & ITS SUPPORT STRUCTURE REPAIRING WITH WELDING THE DAMAGED PART & PAINTING IT WITH ONE COAT RED OXIDE & TWO COAT GOOD QUALITY BURGER/NEROLAC ASIAN MAKE PAINT. PROPER REINSTALLING OF IRON MESH COVER AFTER PAINTING AND RE-LAYING OF GRAVELS TO BE DONE. ",
402526,S0022,MISC WORKS,AU,Z004,O&M SERVICES,9302.0,Fabrication Expenditure,7930200000.0,"CUT,KETTLE,PUNCHERED,BLW 1 METER","CUTTING THE PUNCHERED KETTLE INTO BELOW 1 METRE PIECES WITH THE HELP OF GAS CUTTER, WEIGHING THEM AND PLACING THEM IN THE STEEL YARD, STORING THE ZINC EXTRACTED FROM THE KETTLE ",
402525,S0022,MISC WORKS,AU,Z004,O&M SERVICES,9302.0,Fabrication Expenditure,7930200000.0,"PULL/DRAG,SMALL ZINC KETTLE,PUNCHERED", PULLING/DRAGGING OF PUNCHERED SMALL ZINC KETTLE FROM GALVANIZING PLANT TO THE SUITABLE PLACE WITH THE HELP OF CHAIN TACKLE & ROLLERS MANUALLY INCLUDING SHIFTING OF GALVANIZED TOWER PARTS ON THE WAY KEEPING ASIDE ,
402527,S0022,MISC WORKS,AU,Z004,O&M SERVICES,9302.0,Fabrication Expenditure,7930200000.0,"PULL/DRAG,SMALL ZINC KETTLE,NEW", PULLING/DRAGGING OF NEWLY FABRICATED SMALL ZINC KETTLE FROM FABRICATION WORKSHOP TO THE GALVANIZING PLANT WITH THE HELP OF CHAIN TACKLE & ROLLERS MANUALLY INCLUDING SHIFTING OF GALVANIZED TOWER PARTS ON THE WAY KEEPING ASIDE. ,
402528,S0022,MISC WORKS,AU,Z004,O&M SERVICES,9302.0,Fabrication Expenditure,7930200000.0,"REPAIR/MAINT/CLEAN,TANK,QUENCHING","REPAIR, MAINTENANCE AND CLEANING OF QUENCHING TANK ",
402529,S0083,O&M SERVICES - S/S,AU,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"CONSTRUCT,BARRIER,SAND,CABLE TRENCH","CONSTRUCTION,SAND BARRIER,CABLE TRENCH",
402530,S0051,LAYING-EARTHG. EQP.,TO,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"LAYING,MS BAR,40MM",LAYING OF MS BAR 40MM DIA 500/700MM BELOW GROUND,
402531,S0051,LAYING-EARTHG. EQP.,TO,Z004,O&M SERVICES,7111.0,R&M-Outdoor Switch,7411100000.0,"FRESH EARTHINGG,W/MS FLAT,50X6MM","FRESH EARTHING,WITH 50X6MM MS FLAT",
900020,S0089,CIV. WORKS-GEN,M2,Z025,CIVIL WORK SOR AS PER DSR,,,,SURFACE EXCAVATION DEPTH UPTO 30CM,"""EARTH WORK IN SURFACE EXCAVATION NOT EXCEEDING 30 CM IN DEPTH BUT EXCEEDING 1.5 M IN WIDT H AS WELL AS 10 SQM ON PLAN INCLUDING GETTING OUT AND DISPOSAL OF EXCAVATED EARTH UPTO 50 M AND LIFT UPTO 1.5 M, AS DIRECTED BY ENGINEER-IN- CHARGE:.IN ALL KINDS OF SOIL""",
900021,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,, EARTH WORK IN ROUGH EXCAVATION,"""EARTH WORK BY MECHINICAL / MANUAL MEANS IN ROUGH EXCAVATION, BANKING EXCAVATED EARTH IN L AYERS NOT EXCEEDING 20CM IN DEPTH, BREAKING CLODS, WATERING, ROLLING EACH LAYER WITH 1/2 TON NE ROLLER OR WOODEN OR STEEL RAMMERS, AND ROLLING EVERY 3RD AND TOP-MOST LAYER WITH POWER ROLLER OF MINIMUM 8 TONNES AND DRESSING UP IN EMBANKMENTS FOR ROADS, FLOOD BANKS, MARGINAL  BANKS AND GUIDE BANKS OR FILLING UP GROUND DEPRESSIONS, LEAD UPTO 50 M AND FOR ALL LIFT : .IN ALL KINDS OF SOIL""",
900022,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,BANKING EXCAVATED EARTH,"""BANKING EXCAVATED EARTH BY MECHANICAL / MANUAL MEANS IN LAYERS NOT EXCEEDING 20 CM IN DEP TH, BREAKING CLODS, WATERING, ROLLING EACH LAYER WITH 1/2 TONNE ROLLER, OR WOODEN OR STEEL R AMMERS, AND ROLLING EVERY 3RD AND TOP-MOST LAYER WITH POWER ROLLER OF MINIMUM 8 TONNES AND  DRESSING UP, IN EMBANKMENTS FOR ROADS, FLOOD BANKS, MARGINAL BANKS, AND GUIDE BANKS ETC.,  LEAD UPTO 50 M AND FOR ALL LIFT :.IN ALL KINDS OF SOIL""",
900023,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,DEDUCT FOR NOT ROLLING WITH POWER ROLLER,DEDUCT FOR NOT ROLLING WITH POWER ROLLER OF MINIMUM 8 TONNES FOR BANKING EXCAVATED EARTH I N LAYERS NOT EXCEEDING 20 CM IN DEPTH.,
900024,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,DEDUCT FOR NOT WATERING,DEDUCT FOR NOT WATERING THE EXCAVATED EARTH FOR BANKING,
900025,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EARTH WORK IN EXCAVATION IN ALL SOIL,"""EARTH WORK IN EXCAVATION BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/MANUAL MEANS OVER AREA S (EXCEEDING 30 CM IN DEPTH, 1.5 M IN WIDTH AS WELL AS 10 SQM ON PLAN) INCLUDING GETTING O UT AND DISPOSAL OF EXCAVATED EARTH LEAD UPTO 50 M AND FOR ALL LIFT, AS DIRECTED BY ENGINEE R-IN-CHARGE..IN ALL KINDS OF SOIL""",
900026,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN ORDINARY ROCK,"""EARTH WORK IN EXCAVATION BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/MANUAL MEANS OVER AREA S (EXCEEDING 30 CM IN DEPTH, 1.5 M IN WIDTH AS WELL AS 10 SQM ON PLAN) INCLUDING GETTING O UT AND DISPOSAL OF EXCAVATED EARTH LEAD UPTO 50 M AND LIFT UPTO 1.5 M, AS DIRECTED BY ENGI NEER-IN-CHARGE..IN ORDINARY ROCK""",
900027,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN HARD ROCK (BLASTING),"""EARTH WORK IN EXCAVATION BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/MANUAL MEANS OVER AREA S (EXCEEDING 30 CM IN DEPTH, 1.5 M IN WIDTH AS WELL AS 10 SQM ON PLAN) INCLUDING GETTING O UT AND DISPOSAL OF EXCAVATED EARTH LEAD UPTO 50 M AND LIFT UPTO 1.5 M, AS DIRECTED BY ENGI NEER-IN-CHARGE..IN HARD ROCK (REQUIRING BLASTING)""",
900028,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION HARD ROCK BLASTING PROHIBITED,"""EARTH WORK IN EXCAVATION BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/MANUAL MEANS OVER AREA S (EXCEEDING 30 CM IN DEPTH, 1.5 M IN WIDTH AS WELL AS 10 SQM ON PLAN) INCLUDING GETTING O UT AND DISPOSAL OF EXCAVATED EARTH LEAD UPTO 50 M AND LIFT UPTO 1.5 M, AS DIRECTED BY ENGI NEER-IN-CHARGE..IN HARD ROCK (BLASTING PROHIBITED)""",
900029,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN TRENCHES IN ALL SOIL,"""EARTH WORK IN EXCAVATION BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR) / MANUAL MEANS IN FOUN DATION TRENCHES OR DRAINS (NOT EXCEEDING 1.5 M IN WIDTH OR 10 SQM ON PLAN), INCLUDING DRES SING OF SIDES AND RAMMING OF BOTTOMS, FOR ALL LIFT, INCLUDING GETTING OUT THE EXCAVATED SO IL AND DISPOSAL OF SURPLUS EXCAVATED SOIL AS DIRECTED, WITHIN A LEAD OF 50 M. .IN ALL KIND S OF SOIL""",
900030,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN TRENCHES IN ORDINARY ROCK,"""EXCAVATION WORK BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/ MANUAL MEANS IN FOUNDATION TRE NCHES OR DRAINS (NOT EXCEEDING 1.5M IN WIDTH OR 10 SQM ON PLAN), INCLUDING DRESSING OF SID ES AND RAMMING OF BOTTOMS, LIFT UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED SOIL AND D ISPOSAL OF SURPLUS EXCAVATED SOILS AS DIRECTED, WITHIN A LEAD OF 50 M..IN ORDINARY ROCK""",
900031,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION TRENCHES HARD ROCK BLASTING,"""EXCAVATION WORK BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/ MANUAL MEANS IN FOUNDATION TRE NCHES OR DRAINS (NOT EXCEEDING 1.5M IN WIDTH OR 10 SQM ON PLAN), INCLUDING DRESSING OF SID ES AND RAMMING OF BOTTOMS, LIFT UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED SOIL AND D ISPOSAL OF SURPLUS EXCAVATED SOILS AS DIRECTED, WITHIN A LEAD OF 50 M..IN HARD ROCK (REQUI RING BLASTING)""",
900032,S0089,CIV. WORKS-GEN,M3,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION TRENCHES BLASTING PROHIBITED,"""EXCAVATION WORK BY MECHANICAL MEANS (HYDRAULIC EXCAVATOR)/ MANUAL MEANS IN FOUNDATION TRE NCHES OR DRAINS (NOT EXCEEDING 1.5M IN WIDTH OR 10 SQM ON PLAN), INCLUDING DRESSING OF SID ES AND RAMMING OF BOTTOMS, LIFT UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED SOIL AND D ISPOSAL OF SURPLUS EXCAVATED SOILS AS DIRECTED, WITHIN A LEAD OF 50 M..IN HARD ROCK (BLAST ING PROHIBITED)""",
900033,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN SOIL FOR PIPE DIA UPTO80MM,"""EXCAVATING TRENCHES BY MECHINICAL / MANUAL MEANS OF REQUIRED WIDTH FOR PIPES, CABLES, ETC  INCLUDING EXCAVATION FOR SOCKETS, AND DRESSING OF SIDES, RAMMING OF BOTTOMS, FOR ALL DEPT H, INCLUDING GETTING OUT THE EXCAVATED SOIL, AND THEN RETURNING THE SOIL AS REQUIRED, IN L AYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITED LAYER BY RAMMIN G, WATERING, ETC. AND DISPOSING OF SURPLUS EXCAVATED SOIL AS DIRECTED, WITHIN A LEAD OF 50  M : ALL KINDS OF SOIL.PIPES, CABLES ETC, NOT EXCEEDING 80 MM DIA.""",
900034,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN SOIL FOR PIPE DIA 80-300MM,"""EXCAVATING TRENCHES BY MECHINICAL / MANUAL MEANS OF REQUIRED WIDTH FOR PIPES, CABLES, ETC  INCLUDING EXCAVATION FOR SOCKETS, AND DRESSING OF SIDES, RAMMING OF BOTTOMS, FOR ALL DEPT H, INCLUDING GETTING OUT THE EXCAVATED SOIL, AND THEN RETURNING THE SOIL AS REQUIRED, IN L AYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITED LAYER BY RAMMIN G, WATERING, ETC. AND DISPOSING OF SURPLUS EXCAVATED SOIL AS DIRECTED, WITHIN A LEAD OF 50  M : ALL KINDS OF SOIL.PIPES, CABLES ETC. EXCEEDING 80 MM DIA. BUT NOT EXCEEDING 300 MM DI A""",
900035,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION IN SOIL FOR PIPE DIA300-600MM,"""EXCAVATING TRENCHES BY MECHINICAL / MANUAL MEANS OF REQUIRED WIDTH FOR PIPES, CABLES, ETC  INCLUDING EXCAVATION FOR SOCKETS, AND DRESSING OF SIDES, RAMMING OF BOTTOMS, FOR ALL DEPT H, INCLUDING GETTING OUT THE EXCAVATED SOIL, AND THEN RETURNING THE SOIL AS REQUIRED, IN L AYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITED LAYER BY RAMMIN G, WATERING, ETC. AND DISPOSING OF SURPLUS EXCAVATED SOIL AS DIRECTED, WITHIN A LEAD OF 50  M : ALL KINDS OF SOIL.PIPES, CABLES ETC. EXCEEDING 300 MM DIA BUT NOT EXCEEDING 600 MM""",
900036,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION ORDINARY ROCK DIA UPTO80MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : ORDINARY ROCK :.PIPES , CABLES ETC. NOT EXCEEDING 80 MM DIA""",
900037,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION  ORDINARY ROCK DIA 80-300MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : ORDINARY ROCK :.PIPES , CABLES ETC. EXCEEDING 80 MM DIA BUT NOT EXCEEDING 300 MM DIA""",
900038,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION  ORDINARY ROCK DIA300-600MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : ORDINARY ROCK :.PIPES , CABLES EXCEEDING 300 MM DIA BUT NOT EXCEEDING 600 MM DIA""",
900039,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION HARD ROCK BLASTING DIA 80MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : HARD ROCK (REQUIRING BLASTING) :.PIPES, CABLES ETC. NOT EXCEEDING 80 MM DIA""",
900040,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXCAVATION HARDROCK BLASTING DIA80-300MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : HARD ROCK (REQUIRING BLASTING) :.PIPES, CABLES ETC. EXCEEDING 80 MM DIA BUT NOT EXCEEDING 300 MM DIA""",
900041,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EX. HARDROCK BLASTING DIA300-600MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M :HARD ROCK (REQUIRING B LASTING) :.PIPES, CABLES EXCEEDING 300 MM DIA BUT NOT EXCEEDING 600 MM DIA""",
900042,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EX. HARDROCK BLASTING PROHIBITED DIA80MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M :HARD ROCK (BLASTING PR OHIBITED):.PIPES, CABLES ETC. NOT EXCEEDING 80 MM DIA""",
900043,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EX. HARDROCK W/O BLASTING DIA80-300MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M : HARD ROCK (BLASTING P ROHIBITED) :.PIPES, CABLES ETC. EXCEEDING 80 MM DIA BUT NOT EXCEEDING 300 MM DIA""",
900044,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EX. HARDROCK W/O BLASTING DIA300-600MM,"""EXCAVATING TRENCHES OF REQUIRED WIDTH FOR PIPES, CABLES, ETC, INCLUDING EXCAVATION FOR SO CKETS, DEPTH UPTO 1.5 M, INCLUDING GETTING OUT THE EXCAVATED MATERIALS, RETURNING THE SOIL  AS REQUIRED IN LAYERS NOT EXCEEDING 20 CM IN DEPTH, INCLUDING CONSOLIDATING EACH DEPOSITE D LAYERS BY RAMMING, WATERING ETC., STACKING SERVICEABLE MATERIAL FOR MEASUREMENTS AND DIS POSAL OF UNSERVICEABLE MATERIAL AS DIRECTED, WITHIN A LEAD OF 50 M :HARD ROCK (BLASTING PR OHIBITED):.PIPES, CABLES EXCEEDING 300 MM DIA BUT NOT EXCEEDING 600 MM DIA""",
900045,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M ORD. ROCK DIA80-300MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).ORDINARY ROCK :.PIPES, CABLES ETC. EXCEEDING 80 MM DIA BUT NOT EXCEEDING 300 MM DIA""",
900046,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M ORD. ROCK DIA300-600MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).ORDINARY ROCK :.PIPES, CABLES EXCEEDING 300 MM DIA BUT NOT EXCEEDING 600 MM DIA""",
900047,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M HARD ROCK DIA80-300MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).HARD ROCK (REQUIRING BLASTING).PIPES, CABLES ETC. EXCEEDING 80 MM DIA BUT NOT EX CEEDING 300 MM DIA""",
900048,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M HARD ROCK DIA300-600MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).HARD ROCK (REQUIRING BLASTING).PIPES, CABLES EXCEEDING 300 MM DIA BUT NOT EXCEED ING 600 MM DIA""",
900049,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M W/O BLAST DIA80-300MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).HARD ROCK (BLASTING PROHIBITED).PIPES, CABLES ETC. EXCEEDING 80 MM DIA BUT NOT E XCEEDING 300 MM DIA""",
900050,S0089,CIV. WORKS-GEN,M,Z025,CIVIL WORK SOR AS PER DSR,,,,EXTRA FOR D1.5-3M W/O BLAST DIA300-600MM,"""EXTRA FOR EXCAVATING TRENCHES FOR PIPES, CABLES, ETC. IN ORDINARY/HARD ROCK EXCEEDING 1.5  M IN DEPTH BUT NOT EXCEEDING 3 M. (RATE IS OVER CORRESPONDING BASIC ITEM FOR DEPTH UPTO 1 .5 METRE).HARD ROCK (BLASTING PROHIBITED).PIPES, CABLES EXCEEDING 300 MM DIA BUT NOT EXCEE DING 600 MM DIA""",
